home_team,away_team,spread,ensemble_pred,pick,pick_line,edge,confidence,value_rating,reasoning
Stanford,Notre Dame,32.5,-5.281051304323408,Notre Dame,Notre Dame -32.5,37.781051304323405,95.0,Strong Value,Model favors Notre Dame more than market
Purdue,Indiana,28.5,-3.9817152660018795,Indiana,Indiana -28.5,32.48171526600188,95.0,Strong Value,Model favors Indiana more than market
West Virginia,Texas Tech,21.0,-2.422032783813398,Texas Tech,Texas Tech -21.0,23.4220327838134,95.0,Strong Value,Model favors Texas Tech more than market
Coastal Carolina,James Madison,22.0,-1.050878816495291,James Madison,James Madison -22.0,23.050878816495292,95.0,Strong Value,Model favors James Madison more than market
Tulane,Charlotte,-30.0,8.786797391934254,Charlotte,Charlotte +30.0,21.213202608065746,95.0,Strong Value,"Model predicts Tulane wins by only 8.8, not covering -30.0"
Old Dominion,Georgia State,-26.5,5.916934209522584,Georgia State,Georgia State +26.5,20.583065790477416,95.0,Strong Value,"Model predicts Old Dominion wins by only 5.9, not covering -26.5"
South Florida,Rice,-27.5,9.743172261663622,Rice,Rice +27.5,17.756827738336376,95.0,Strong Value,"Model predicts South Florida wins by only 9.7, not covering -27.5"
Oklahoma State,Iowa State,14.0,-2.4319931939704817,Iowa State,Iowa State -14.0,16.43199319397048,95.0,Strong Value,Model favors Iowa State more than market
California,SMU,13.0,-2.601460631468272,SMU,SMU -13.0,15.601460631468271,95.0,Strong Value,Model favors SMU more than market
Massachusetts,Bowling Green,14.5,-0.33438131360603673,Bowling Green,Bowling Green -14.5,14.834381313606038,95.0,Strong Value,Model favors Bowling Green more than market
Georgia Tech,Georgia,13.5,-0.5546881235136616,Georgia,Georgia -13.5,14.054688123513662,95.0,Strong Value,Model favors Georgia more than market
Kansas,Utah,13.0,-0.9924949055612169,Utah,Utah -13.0,13.992494905561216,95.0,Strong Value,Model favors Utah more than market
Rutgers,Penn State,12.0,-0.9486324425756703,Penn State,Penn State -12.0,12.94863244257567,95.0,Strong Value,Model favors Penn State more than market
USC,UCLA,-21.0,8.492308334711275,UCLA,UCLA +21.0,12.507691665288725,95.0,Strong Value,"Model predicts USC wins by only 8.5, not covering -21.0"
Kansas State,Colorado,-17.0,5.315587386185317,Colorado,Colorado +17.0,11.684412613814683,95.0,Strong Value,"Model predicts Kansas State wins by only 5.3, not covering -17.0"
BYU,UCF,-17.0,5.551099729941608,UCF,UCF +17.0,11.448900270058392,95.0,Strong Value,"Model predicts BYU wins by only 5.6, not covering -17.0"
Miami (OH),Ball State,-17.5,6.221171749404635,Ball State,Ball State +17.5,11.278828250595364,95.0,Strong Value,"Model predicts Miami (OH) wins by only 6.2, not covering -17.5"
North Texas,Temple,-19.5,8.281057234859691,Temple,Temple +19.5,11.218942765140309,95.0,Strong Value,"Model predicts North Texas wins by only 8.3, not covering -19.5"
Central Michigan,Toledo,10.5,-0.12128353456958063,Toledo,Toledo -10.5,10.621283534569582,95.0,Strong Value,Model favors Toledo more than market
Sam Houston,Florida International,10.0,-0.5343055490032778,Florida International,Florida International -10.0,10.534305549003278,95.0,Strong Value,Model favors Florida International more than market
Nevada,UNLV,7.5,-2.9177682620532552,UNLV,UNLV -7.5,10.417768262053254,95.0,Strong Value,Model favors UNLV more than market
Mississippi State,Ole Miss,7.5,-2.08218105962559,Ole Miss,Ole Miss -7.5,9.58218105962559,95.0,Strong Value,Model favors Ole Miss more than market
Michigan,Ohio State,9.5,-0.06314875757236127,Ohio State,Ohio State -9.5,9.56314875757236,95.0,Strong Value,Model favors Ohio State more than market
Washington State,Oregon State,-13.5,4.582270845787322,Oregon State,Oregon State +13.5,8.917729154212678,94.5886457710634,Strong Value,"Model predicts Washington State wins by only 4.6, not covering -13.5"
Virginia,Virginia Tech,-10.5,2.5433022747765577,Virginia Tech,Virginia Tech +10.5,7.956697725223442,89.78348862611722,Strong Value,"Model predicts Virginia wins by only 2.5, not covering -10.5"
Tulsa,UAB,-9.5,1.7140206467820813,UAB,UAB +9.5,7.785979353217918,88.9298967660896,Strong Value,"Model predicts Tulsa wins by only 1.7, not covering -9.5"
Buffalo,Ohio,6.0,-1.0757861485423112,Ohio,Ohio -6.0,7.075786148542312,85.37893074271156,Strong Value,Model favors Ohio more than market
Pittsburgh,Miami,6.5,-0.4974344047052188,Miami,Miami -6.5,6.997434404705219,84.98717202352609,Moderate Value,Model favors Miami more than market
Washington,Oregon,6.5,-0.3034320936626278,Oregon,Oregon -6.5,6.803432093662628,84.01716046831314,Moderate Value,Model favors Oregon more than market
Oklahoma,LSU,-10.0,3.9285297062452207,LSU,LSU +10.0,6.071470293754779,80.3573514687739,Moderate Value,"Model predicts Oklahoma wins by only 3.9, not covering -10.0"
Louisiana,UL Monroe,-10.5,5.054343918603294,UL Monroe,UL Monroe +10.5,5.445656081396706,77.22828040698353,Moderate Value,"Model predicts Louisiana wins by only 5.1, not covering -10.5"
Hawai'i,Wyoming,-10.0,4.5648359595768335,Wyoming,Wyoming +10.0,5.4351640404231665,77.17582020211583,Moderate Value,"Model predicts Hawai'i wins by only 4.6, not covering -10.0"
Florida Atlantic,East Carolina,6.5,1.3643993416537434,East Carolina,East Carolina -6.5,5.135600658346257,75.67800329173129,Moderate Value,Model favors East Carolina more than market
Marshall,Georgia Southern,-7.5,2.996542393038138,Georgia Southern,Georgia Southern +7.5,4.503457606961862,72.51728803480931,Moderate Value,"Model predicts Marshall wins by only 3.0, not covering -7.5"
New Mexico State,Middle Tennessee,-5.0,0.530186857536449,Middle Tennessee,Middle Tennessee +5.0,4.4698131424635505,72.34906571231775,Moderate Value,"Model predicts New Mexico State wins by only 0.5, not covering -5.0"
Texas State,South Alabama,-9.0,5.725178665226762,South Alabama,South Alabama +9.0,3.274821334773238,66.37410667386618,Slight Value,"Model predicts Texas State wins by only 5.7, not covering -9.0"
Southern Miss,Troy,-7.0,3.791390271654029,Troy,Troy +7.0,3.208609728345971,66.04304864172985,Slight Value,"Model predicts Southern Miss wins by only 3.8, not covering -7.0"
Illinois,Northwestern,-6.5,3.3573125952250296,Northwestern,Northwestern +6.5,3.1426874047749704,65.71343702387486,Slight Value,"Model predicts Illinois wins by only 3.4, not covering -6.5"
Eastern Michigan,Western Michigan,7.0,3.8666510205002,Western Michigan,Western Michigan -7.0,3.1333489794998,65.666744897499,Slight Value,Model favors Western Michigan more than market
Nebraska,Iowa,5.5,2.4425986757669516,Iowa,Iowa -5.5,3.0574013242330484,65.28700662116525,Slight Value,Model favors Iowa more than market
TCU,Cincinnati,-4.0,1.3369428199967632,Cincinnati,Cincinnati +4.0,2.6630571800032365,63.31528590001618,Slight Value,"Model predicts TCU wins by only 1.3, not covering -4.0"
Syracuse,Boston College,3.0,0.7762340746406373,Boston College,Boston College -3.0,2.2237659253593627,61.11882962679681,Slight Value,Model favors Boston College more than market
Duke,Wake Forest,-2.5,4.5138709816250975,Duke,Duke -2.5,2.0138709816250975,60.06935490812549,Slight Value,"Model predicts Duke wins by 4.5, covering -2.5"
NC State,North Carolina,-7.0,5.258507618590873,North Carolina,North Carolina +7.0,1.7414923814091274,58.70746190704564,No Value,"Model predicts NC State wins by only 5.3, not covering -7.0"
Minnesota,Wisconsin,-1.0,2.7090198998764325,Minnesota,Minnesota -1.0,1.7090198998764325,58.54509949938216,No Value,"Model predicts Minnesota wins by 2.7, covering -1.0"
Arkansas,Missouri,2.5,4.151421635853654,Arkansas,Arkansas +2.5,1.6514216358536542,58.25710817926827,No Value,Model favors Arkansas more than market
Texas,Texas A&M,2.0,0.353367665643213,Texas A&M,Texas A&M -2.0,1.646632334356787,58.23316167178393,No Value,Model favors Texas A&M more than market
Liberty,Kennesaw State,2.0,3.605187277617169,Liberty,Liberty +2.0,1.6051872776171692,58.025936388085846,No Value,Model favors Liberty more than market
UTSA,Army,-7.0,5.4342396407341464,Army,Army +7.0,1.5657603592658536,57.828801796329266,No Value,"Model predicts UTSA wins by only 5.4, not covering -7.0"
Arizona State,Arizona,-1.0,2.523111347434193,Arizona State,Arizona State -1.0,1.523111347434193,57.61555673717096,No Value,"Model predicts Arizona State wins by 2.5, covering -1.0"
Northern Illinois,Kent State,-5.0,3.482031649364835,Kent State,Kent State +5.0,1.517968350635165,57.589841753175826,No Value,"Model predicts Northern Illinois wins by only 3.5, not covering -5.0"
New Mexico,San Diego State,1.5,2.9904692309379435,New Mexico,New Mexico +1.5,1.4904692309379435,57.45234615468972,No Value,Model favors New Mexico more than market
Utah State,Boise State,3.0,1.6558995222891628,Boise State,Boise State -3.0,1.3441004777108372,56.72050238855419,No Value,Model favors Boise State more than market
Tennessee,Vanderbilt,-3.0,1.8826035173868645,Vanderbilt,Vanderbilt +3.0,1.1173964826131355,55.58698241306568,No Value,"Model predicts Tennessee wins by only 1.9, not covering -3.0"
Colorado State,Air Force,3.0,1.9150165017628633,Air Force,Air Force -3.0,1.0849834982371367,55.42491749118568,No Value,Model favors Air Force more than market
Jacksonville State,Western Kentucky,2.0,3.06931713964205,Jacksonville State,Jacksonville State +2.0,1.0693171396420502,55.34658569821025,No Value,Model favors Jacksonville State more than market
San José State,Fresno State,2.5,3.376304130569479,San José State,San José State +2.5,0.876304130569479,54.38152065284739,No Value,Model favors San José State more than market
Missouri State,Louisiana Tech,-3.0,2.172960040315293,Louisiana Tech,Louisiana Tech +3.0,0.8270399596847069,54.135199798423535,No Value,"Model predicts Missouri State wins by only 2.2, not covering -3.0"
Michigan State,Maryland,-4.0,3.4358966101125072,Maryland,Maryland +4.0,0.5641033898874928,52.82051694943746,No Value,"Model predicts Michigan State wins by only 3.4, not covering -4.0"
Florida,Florida State,-1.0,0.47841842269724255,Florida State,Florida State +1.0,0.5215815773027574,52.607907886513786,No Value,"Model predicts Florida wins by only 0.5, not covering -1.0"
Louisville,Kentucky,-3.5,3.040736330011112,Kentucky,Kentucky +3.5,0.4592636699888879,52.29631834994444,No Value,"Model predicts Louisville wins by only 3.0, not covering -3.5"
South Carolina,Clemson,-2.0,1.545604849026068,Clemson,Clemson +2.0,0.4543951509739319,52.27197575486966,No Value,"Model predicts South Carolina wins by only 1.5, not covering -2.0"
App State,Arkansas State,-3.0,3.3288718141229516,App State,App State -3.0,0.32887181412295163,51.644359070614755,No Value,"Model predicts App State wins by 3.3, covering -3.0"
Memphis,Navy,-5.0,4.893699022759577,Navy,Navy +5.0,0.10630097724042287,50.531504886202114,No Value,"Model predicts Memphis wins by only 4.9, not covering -5.0"
Delaware,UTEP,-5.0,4.948814816661171,UTEP,UTEP +5.0,0.05118518333882882,50.255925916694146,No Value,"Model predicts Delaware wins by only 4.9, not covering -5.0"
