season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2025,Air Force,Mountain West,228,212,18,7,26,12,4,3,3,4,10,0,0,67,55,6,7,0,0,172,338,8,20,1587,2748,149,284,89,196,7,6,11,15,43,59,375,490,20187,15813,0,0,8,39,3,7,538,312,29,24,2712,1731,10,11,31,37,62,60,125,117,4299,4479,10,10
2025,Akron,Mid-American,221,219,11,4,24,16,6,8,8,6,11,1,0,88,116,8,10,0,2,622,500,31,27,2452,2612,376,329,200,205,10,8,19,19,64,64,509,578,19956,19644,0,0,46,214,8,21,393,387,9,18,1494,1740,22,30,65,64,49,48,156,136,3946,4352,14,18
2025,Alabama,SEC,221,162,16,11,25,16,7,8,8,7,10,2,1,137,87,2,8,0,1,259,272,15,15,2947,1620,357,264,240,164,8,2,26,7,49,59,419,528,19525,16475,0,0,113,77,13,6,320,318,12,12,1088,1327,20,20,55,46,65,44,139,123,4035,2947,9,16
2025,App State,Sun Belt,212,228,18,10,28,18,6,2,2,6,10,0,3,84,174,11,10,0,0,463,210,23,11,2738,2744,413,363,238,225,10,11,20,18,71,53,688,505,16737,19256,1,0,199,112,17,15,298,357,9,17,1158,1379,23,25,61,46,47,61,143,144,3896,4123,17,12
2025,Arizona,Big 12,218,164,14,14,23,25,4,6,6,4,10,1,1,211,143,6,14,0,0,178,19,9,1,2584,1595,334,295,211,154,14,6,24,8,55,54,485,517,18118,17882,0,0,170,85,17,9,345,367,15,14,1549,1471,18,27,66,55,51,50,132,147,4133,3066,10,20
2025,Arizona State,Big 12,217,193,16,14,27,28,5,5,5,5,10,0,0,12,28,4,7,0,0,251,413,15,21,2194,2257,341,324,201,200,7,4,15,14,80,56,628,533,19831,16169,0,0,84,185,8,13,385,334,12,16,1809,1182,27,26,64,62,52,48,153,137,4003,3439,9,12
2025,Arkansas,SEC,235,237,8,10,15,14,8,2,2,8,10,1,1,160,100,10,6,0,1,228,260,10,10,2646,2453,302,301,188,190,6,10,20,17,68,61,618,490,17284,18716,1,0,112,30,17,5,347,385,22,20,2057,1827,20,24,58,50,56,55,115,129,4703,4280,18,8
2025,Arkansas State,Sun Belt,225,209,12,6,20,13,7,5,6,7,10,1,0,71,90,11,7,1,0,503,240,23,14,2470,2409,387,292,260,198,7,11,14,15,67,86,587,795,18384,17616,0,0,103,66,19,9,354,373,11,20,1312,1802,25,22,53,68,64,56,153,133,3782,4211,18,12
2025,Army,American Athletic,175,167,29,14,42,25,5,5,5,5,9,0,0,31,69,3,6,0,1,37,416,3,18,727,1772,86,253,45,162,6,3,4,10,29,44,239,338,19223,13177,0,0,78,12,7,5,552,298,21,13,2347,1272,8,4,33,35,57,49,138,112,3074,3044,8,11
2025,Auburn,SEC,208,193,10,11,20,18,3,5,5,3,10,1,1,193,91,3,9,1,0,361,239,15,11,1836,2413,298,310,185,198,9,3,8,11,79,59,640,528,18299,17701,0,0,54,48,13,8,386,334,17,11,1694,922,26,39,69,66,50,48,136,135,3530,3335,6,14
2025,Ball State,Mid-American,143,208,7,13,13,26,6,4,4,6,10,0,0,29,-1,6,7,1,0,462,386,23,22,1273,2278,222,303,128,192,7,6,9,16,45,59,384,538,17539,18461,0,1,14,157,10,18,370,376,9,18,1372,1738,20,36,46,76,46,59,141,138,2645,4016,12,11
2025,Baylor,Big 12,252,216,22,6,40,12,10,2,2,10,10,1,1,92,142,9,7,0,1,606,477,29,22,3244,1950,431,288,264,179,7,9,29,15,58,64,583,643,17682,18318,0,0,114,30,16,10,338,397,10,23,1406,1980,10,18,39,49,55,56,144,135,4650,3930,19,9
2025,Boise State,Mountain West,211,155,16,8,28,17,5,5,5,5,10,3,0,171,35,9,11,0,1,233,222,14,8,2291,1527,314,255,186,143,11,9,17,10,72,74,622,603,19379,16621,0,0,34,72,8,9,386,348,20,18,1833,1702,18,18,56,55,64,45,147,134,4124,3229,14,16
2025,Boston College,ACC,230,239,16,10,30,17,9,6,6,9,11,1,1,76,91,12,6,0,0,376,455,20,22,3066,3003,428,356,269,230,6,12,20,23,67,73,565,654,19462,20138,0,0,135,39,13,13,347,378,12,24,1111,1955,15,35,42,68,58,59,152,140,4177,4958,21,12
2025,Bowling Green,Mid-American,165,176,4,7,15,16,2,7,7,2,10,0,1,4,170,10,5,1,0,738,361,26,20,1549,2021,251,258,150,158,5,10,9,12,71,65,627,558,18538,17462,0,2,72,194,16,9,379,340,10,17,1454,1478,15,26,59,62,53,41,143,121,3003,3499,12,12
2025,Buffalo,Mid-American,193,179,7,13,20,22,7,6,7,7,10,0,1,147,80,11,6,0,0,369,284,18,14,2175,1905,335,296,195,168,6,11,15,14,53,50,459,370,17054,18946,1,0,222,65,20,16,348,403,13,11,1452,1372,30,15,67,52,52,57,146,162,3627,3277,18,12
2025,BYU,Big 12,221,177,17,10,26,26,6,4,4,6,10,3,0,251,27,4,14,0,0,403,161,17,11,2218,1913,285,300,177,169,14,4,13,8,60,62,495,473,19506,16494,0,0,203,21,22,5,385,346,24,11,1962,1302,25,9,60,44,51,41,130,133,4180,3215,10,18
2025,California,ACC,189,191,11,8,19,14,2,5,6,2,10,0,2,93,187,10,7,0,0,303,594,14,31,2627,1995,376,315,229,191,7,10,15,7,73,73,560,637,17566,18434,0,0,203,114,21,16,294,336,16,20,795,1556,17,25,51,54,53,54,138,138,3422,3551,12,12
2025,Central Michigan,Mid-American,174,197,11,7,17,18,6,6,6,6,10,2,0,150,45,4,12,0,0,232,538,14,28,1629,2095,175,321,124,190,12,4,13,14,62,65,511,572,19189,16773,0,0,64,59,8,9,425,340,15,14,1800,1539,22,15,47,57,43,61,124,142,3429,3634,10,18
2025,Charlotte,American Athletic,173,255,11,14,24,24,10,7,7,10,10,0,2,65,226,9,4,1,0,536,158,21,9,2175,2691,324,330,191,220,4,9,14,24,62,47,526,510,17310,18690,0,0,82,132,8,16,325,406,5,22,946,2061,12,22,42,60,56,58,147,134,3121,4752,19,11
2025,Cincinnati,Big 12,207,221,13,20,16,33,5,7,7,5,10,1,0,116,35,4,2,0,0,224,278,10,16,2313,2324,272,327,164,217,2,4,23,14,73,54,690,423,14741,21259,0,1,42,98,11,9,321,385,20,12,1963,1579,20,3,51,31,44,55,107,145,4276,3903,9,9
2025,Clemson,ACC,209,195,18,10,31,21,8,5,5,8,10,0,1,33,94,6,6,0,1,204,206,10,6,2783,2424,359,365,240,223,6,6,18,13,44,66,443,581,18468,17532,0,0,80,23,15,8,314,298,15,10,1209,1130,25,15,64,48,44,42,131,134,3992,3552,14,11
2025,Coastal Carolina,Sun Belt,183,220,7,10,12,27,7,8,7,8,10,0,1,70,151,10,10,1,1,440,426,18,17,1544,2393,274,344,148,211,10,10,13,18,64,71,516,594,17193,18807,0,1,102,287,12,22,395,393,15,15,1946,1997,17,18,54,55,53,56,143,146,3490,4390,17,18
2025,Colorado,Big 12,178,221,6,14,14,24,5,6,7,5,10,0,0,50,182,10,5,0,0,591,109,24,5,2096,2098,292,280,176,157,5,10,16,16,60,61,521,575,17380,18620,0,0,49,199,8,19,347,417,12,19,1234,2120,13,32,52,79,55,49,142,135,3330,4218,15,11
2025,Colorado State,Mountain West,186,202,12,10,26,16,7,7,7,7,10,0,0,69,89,9,8,0,0,288,242,14,10,1975,2295,311,286,189,178,8,9,11,16,62,71,584,617,16786,19214,1,0,209,110,14,19,337,371,11,20,1248,1865,13,29,42,67,44,55,137,129,3223,4160,16,15
2025,Delaware,Conference USA,239,214,14,13,27,15,8,2,2,9,10,1,2,47,82,8,6,0,0,487,252,20,13,3070,2303,427,322,262,205,6,8,18,13,56,72,512,705,18105,17895,1,0,94,84,6,10,312,345,16,22,1109,1688,19,23,58,59,63,56,146,138,4179,3991,16,8
2025,Duke,ACC,225,222,17,12,23,20,8,5,5,8,10,1,0,167,5,4,10,1,0,498,276,18,15,3029,2733,362,314,244,214,10,4,25,13,68,62,669,569,16659,19341,1,0,116,29,10,11,292,359,15,23,1299,1465,20,21,74,49,48,59,121,133,4328,4198,12,15
2025,East Carolina,American Athletic,249,178,9,11,24,28,4,8,8,4,10,1,1,100,47,5,6,0,0,218,545,11,26,2867,2197,360,330,238,208,6,5,16,10,66,57,552,511,17608,18392,0,0,80,33,11,5,429,334,26,10,1796,1194,22,13,82,49,78,43,153,143,4663,3391,9,14
2025,Eastern Michigan,Mid-American,222,228,10,10,17,18,1,2,2,1,11,0,1,42,89,8,7,0,0,464,469,23,20,2490,2100,363,279,223,171,7,8,16,16,63,67,556,606,18546,21016,0,0,55,168,6,17,366,452,15,25,1579,2492,12,10,45,41,68,70,161,152,4069,4592,9,9
2025,Florida,SEC,187,182,6,10,16,15,4,6,6,4,10,0,1,62,195,13,9,0,0,185,153,12,8,2171,2231,333,284,208,180,9,13,14,10,53,66,449,540,17901,18099,0,0,145,49,11,7,309,370,8,17,1224,1443,20,16,50,52,44,60,129,144,3395,3674,17,15
2025,Florida Atlantic,American Athletic,239,216,37,15,55,28,6,4,4,6,10,0,1,28,124,16,3,0,0,571,261,26,14,3293,2118,475,294,311,185,3,16,26,15,67,69,571,613,16822,19178,2,0,244,107,15,9,300,418,9,28,1030,1992,19,16,56,57,59,66,160,155,4323,4110,22,7
2025,Florida International,Conference USA,203,206,15,10,25,25,7,5,5,7,10,0,0,126,32,8,10,0,0,459,738,22,37,2137,2600,328,363,207,227,10,8,13,20,68,59,596,527,19187,16813,0,2,84,138,11,17,375,322,21,14,1777,1468,20,17,46,51,57,62,150,145,3914,4068,15,15
2025,Florida State,ACC,245,177,14,14,24,23,7,2,2,7,10,0,0,127,101,6,11,0,0,204,10,8,2,2598,1969,279,276,167,170,11,6,17,15,53,68,479,567,17567,18433,0,0,112,26,10,1,434,373,30,9,2279,1254,25,20,63,51,70,53,134,143,4877,3223,13,13
2025,Fresno State,Mountain West,200,161,5,10,14,17,5,3,4,5,10,2,1,183,116,11,13,0,0,322,316,15,20,1840,1636,298,281,186,163,13,11,11,16,63,76,565,673,18928,17071,1,0,158,18,20,6,353,321,18,6,1605,1278,19,15,56,57,51,48,130,135,3445,2914,16,16
2025,Georgia,SEC,251,172,9,8,12,18,5,3,3,5,10,0,0,0,86,5,5,0,0,205,167,10,11,2381,2146,304,319,212,197,5,5,20,11,46,63,431,477,19790,16210,0,0,122,33,12,5,410,304,23,12,1906,926,13,11,41,52,60,52,129,135,4287,3072,10,8
2025,Georgia Southern,Sun Belt,221,253,6,9,11,19,3,6,6,3,10,0,1,25,100,7,7,1,2,653,708,28,28,2485,2448,323,328,202,212,7,7,21,13,58,74,565,616,17161,18839,0,0,74,82,9,10,356,390,16,28,1555,2221,11,25,47,51,60,64,135,135,4040,4669,10,13
2025,Georgia State,Sun Belt,194,236,15,11,30,18,6,1,1,6,10,0,1,25,71,9,2,0,0,440,152,25,5,2535,2422,387,275,245,183,2,9,20,21,88,63,680,564,18283,17717,0,1,10,303,5,21,302,405,8,28,1204,2150,13,17,49,54,61,58,147,127,3739,4572,15,3
2025,Georgia Tech,ACC,248,208,4,14,9,20,7,4,4,6,10,0,0,45,0,3,2,0,0,246,200,15,11,2721,2432,286,320,207,195,2,3,12,15,57,64,437,546,17629,18374,0,0,136,56,13,8,378,355,28,16,2248,1664,19,8,48,43,60,55,117,140,4969,4096,10,6
2025,Hawai'i,Mountain West,216,178,9,6,15,18,5,5,5,6,10,2,2,134,237,10,7,1,0,276,556,10,29,3024,2161,442,292,284,165,7,10,23,11,72,71,601,630,19747,16247,0,1,52,206,7,11,283,318,7,14,1072,1333,24,26,46,46,73,42,157,123,4096,3494,15,12
2025,Houston,Big 12,209,171,12,11,22,21,4,3,3,5,10,2,2,139,232,8,8,0,0,336,495,17,22,2221,1976,280,298,178,180,8,8,19,10,51,74,436,612,18758,17242,0,0,124,160,20,14,412,364,13,15,1669,1355,22,18,46,52,64,51,150,150,3890,3331,12,11
2025,Illinois,Big Ten,216,210,12,12,16,22,4,8,8,4,10,0,0,-1,49,6,3,0,0,168,198,8,9,2457,2463,287,360,199,229,3,6,22,18,48,62,409,544,18505,17495,1,1,185,37,10,8,353,305,17,11,1405,1193,17,25,43,56,52,59,116,131,3862,3656,10,11
2025,Indiana,Big Ten,281,132,7,12,15,20,1,7,7,1,11,1,1,85,140,6,15,0,0,189,408,9,21,2856,1832,303,305,220,188,15,6,34,6,42,47,306,396,22622,16963,2,0,359,78,20,10,444,296,24,5,2471,907,33,15,93,44,76,37,134,140,5327,2739,7,22
2025,Iowa,Big Ten,174,150,11,3,16,15,3,2,2,3,10,1,0,161,31,6,10,1,0,422,186,16,14,1336,1574,226,268,143,156,10,6,8,5,26,34,254,294,18822,17178,2,0,437,46,17,5,382,317,22,10,1766,1087,19,13,49,41,56,45,127,126,3102,2661,9,12
2025,Iowa State,Big 12,211,183,13,10,21,23,4,6,6,4,10,0,1,116,98,9,9,0,0,128,810,9,38,2303,2229,305,324,183,198,9,9,12,13,47,71,396,634,18409,17591,1,0,212,13,7,4,380,324,20,12,1638,1508,10,19,51,46,52,55,133,138,3941,3737,13,15
2025,Jacksonville State,Conference USA,216,215,11,12,18,26,3,7,7,4,10,1,1,233,49,5,9,0,1,156,477,11,23,1576,2532,233,331,139,201,9,5,8,16,59,67,556,574,18428,17572,0,0,19,96,5,11,470,358,26,16,2613,1460,19,11,50,53,58,54,143,138,4189,3992,8,16
2025,James Madison,Sun Belt,236,141,5,8,12,18,5,2,2,5,10,0,0,95,27,7,10,1,0,348,431,16,21,2157,1680,271,283,166,142,10,7,18,12,74,57,698,461,21093,14907,0,0,180,25,21,4,441,312,31,4,2447,896,25,16,57,48,71,42,137,139,4604,2576,12,12
2025,Kansas,Big 12,204,191,16,15,25,22,5,5,5,5,10,0,0,32,11,4,4,1,0,452,235,18,12,2262,2075,289,306,185,194,4,4,21,13,52,55,420,477,18611,17389,0,0,134,84,20,16,354,357,14,17,1615,1696,23,19,65,47,45,55,125,146,3877,3771,9,9
2025,Kansas State,Big 12,169,199,13,15,26,30,8,12,12,8,10,1,1,86,90,6,12,1,0,627,398,24,17,2163,2238,302,332,182,190,12,6,17,12,35,48,334,372,17194,18806,0,0,70,73,15,14,313,386,15,16,1389,1523,22,10,59,59,50,56,134,148,3552,3761,14,24
2025,Kennesaw State,Conference USA,209,212,7,12,13,23,4,4,4,5,10,0,1,29,155,9,5,0,0,288,524,16,29,2321,2289,298,325,178,198,5,9,15,13,77,72,687,632,16733,19302,1,0,208,46,22,7,381,386,15,15,1675,1592,25,11,66,43,54,56,135,148,3996,3881,13,9
2025,Kent State,Mid-American,131,247,11,5,24,16,5,3,3,5,10,0,1,109,56,5,5,2,0,488,240,24,13,1973,2682,243,357,138,215,5,5,18,23,66,60,525,582,16686,19314,0,1,147,200,14,22,323,393,7,16,858,1826,24,22,60,59,36,67,134,149,2831,4508,10,8
2025,Kentucky,SEC,208,185,10,10,19,24,8,2,2,8,10,0,2,163,135,9,11,0,0,225,125,12,7,2039,2158,292,293,187,172,11,9,13,8,46,62,373,547,19220,16780,0,0,53,127,12,10,386,362,19,17,1600,1293,20,21,56,57,56,56,131,137,3639,3451,17,13
2025,Liberty,Conference USA,197,191,12,11,22,19,7,7,7,7,10,0,0,110,44,9,6,1,0,486,342,23,19,1993,2003,273,306,154,176,6,9,9,13,58,51,500,447,18464,17536,0,0,30,75,10,9,399,351,18,15,1742,1630,15,21,42,45,56,59,142,142,3735,3633,16,13
2025,Louisiana,Sun Belt,193,209,6,9,13,16,2,6,6,2,10,1,2,91,180,13,8,0,0,429,554,23,32,1591,2169,249,273,132,189,8,13,11,14,62,74,499,750,17613,18387,0,0,21,123,8,17,392,405,20,22,1860,1932,16,17,42,58,60,59,143,131,3451,4101,15,14
2025,Louisiana Tech,Conference USA,191,203,5,6,12,18,4,2,2,4,10,5,0,308,72,8,15,1,0,488,97,22,5,1815,2375,260,383,166,216,15,8,7,14,75,78,742,656,17526,18474,0,0,208,150,22,16,382,319,18,9,1649,1303,13,21,53,55,52,62,133,149,3464,3678,12,17
2025,Louisville,ACC,194,162,4,9,9,24,7,5,5,7,10,0,3,28,249,8,12,0,0,305,242,13,13,2433,1880,353,317,226,182,12,8,13,11,69,69,652,538,18233,17767,2,0,431,30,21,8,305,325,21,10,1566,1099,20,19,52,52,51,45,134,142,3999,2979,15,17
2025,LSU,SEC,198,183,6,12,8,20,5,4,4,5,10,1,0,141,7,5,12,0,0,338,267,17,12,2402,1982,349,298,235,175,12,5,15,8,69,75,582,653,18404,17596,0,2,129,335,10,21,282,332,9,14,1074,1314,22,23,50,62,52,46,132,132,3474,3296,10,16
2025,Marshall,Sun Belt,214,190,7,8,15,15,7,7,7,6,10,3,0,219,34,4,13,0,0,388,183,19,8,1987,2651,270,302,175,170,13,4,17,20,73,57,632,485,18751,17249,0,0,201,68,19,13,441,368,19,19,2076,1472,25,15,63,49,50,56,143,147,4063,4123,11,20
2025,Maryland,Big Ten,172,220,7,15,19,30,5,2,2,5,10,4,0,322,50,7,18,0,0,239,753,16,33,2333,2211,387,321,224,199,18,7,13,19,60,49,554,426,16267,19733,0,0,109,68,16,8,263,396,8,9,1120,1722,25,4,55,37,49,55,142,143,3453,3933,12,20
2025,Massachusetts,Mid-American,153,241,5,9,20,13,5,4,4,5,10,1,0,86,50,7,4,0,1,102,526,5,20,1668,2394,352,279,186,190,4,7,4,26,59,49,470,436,16110,19890,0,1,43,340,10,18,284,417,6,21,795,2024,11,27,34,75,42,61,148,128,2463,4418,12,8
2025,Memphis,American Athletic,260,210,14,10,20,19,2,6,6,2,11,2,0,113,77,8,12,1,0,157,287,8,18,2643,2632,342,357,239,219,12,8,14,13,60,71,511,562,21248,18351,0,0,118,22,13,6,406,367,34,17,2116,1401,17,26,68,65,58,60,139,155,4759,4033,10,18
2025,Miami,ACC,226,160,9,8,16,18,1,7,7,1,10,2,0,195,47,9,11,0,0,239,107,11,5,2699,1891,315,323,228,190,11,9,19,10,77,41,636,339,20113,15887,0,0,184,40,12,8,358,300,22,6,1576,819,25,9,64,33,57,40,123,134,4275,2710,10,18
2025,Miami (OH),Mid-American,178,189,11,7,18,15,2,4,4,2,10,1,1,144,190,10,12,1,1,384,559,14,20,1940,1995,259,330,138,186,12,10,12,17,59,49,524,354,18553,17447,1,0,132,76,14,7,352,327,11,9,1524,1267,26,16,56,37,44,65,124,140,3464,3262,12,16
2025,Michigan,Big Ten,207,172,2,11,11,20,7,5,4,7,10,0,0,10,45,6,11,0,0,202,251,14,15,1951,2018,256,323,155,209,11,6,7,10,43,45,380,347,17910,18090,0,0,42,64,15,13,385,319,28,11,2243,967,25,15,62,38,55,49,124,137,4194,2985,13,16
2025,Michigan State,Big Ten,183,192,11,11,25,20,6,3,4,6,10,0,1,0,44,4,3,0,0,179,243,8,15,2125,2170,297,284,188,192,3,4,14,19,55,52,479,392,18016,17825,0,1,140,232,10,22,330,332,16,20,1231,1554,17,35,47,81,46,53,130,124,3356,3724,10,6
2025,Middle Tennessee,Conference USA,191,215,6,8,24,11,4,3,4,5,10,0,0,73,107,7,7,0,0,302,164,15,9,2651,2482,422,286,253,187,7,7,19,27,69,45,628,429,17112,18888,0,0,78,137,11,11,249,382,7,16,882,1594,19,27,52,52,52,55,145,133,3533,4076,11,10
